Particulars,Frequency,Unit,Year,Value
Agricultural Production Foodgrains Rice Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2012,1790.0
Agricultural Production Foodgrains Rice Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2012,3760.0
Agricultural Production Foodgrains Rice Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,131.6
Agricultural Production Foodgrains Rice Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,2012,544.7
Agricultural Production Foodgrains Rice Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,2012,3130.0
Agricultural Production Foodgrains Rice Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2012,3960.0
Agricultural Production Foodgrains Rice Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,2012,570.0
Agricultural Production Foodgrains Rice Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,2230.0
Agricultural Production Foodgrains Rice Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2012,2840.0
Agricultural Production Foodgrains Rice Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2012,6830.0
Agricultural Production Foodgrains Rice Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2012,10540.0
Agricultural Production Foodgrains Rice Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2012,253.4
Agricultural Production Foodgrains Rice Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2012,7460.0
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,14020.0
Agricultural Production Foodgrains Rice Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,2012,599.0
Agricultural Production Foodgrains Rice Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2012,14610.0
Agricultural Production Foodgrains Rice Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,3146.0
Agricultural Production Foodgrains Rice Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,2012,1780.0
Agricultural Production Foodgrains Rice Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2012,2157.0
Agricultural Production Foodgrains Rice Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,2012,1599.0
Agricultural Production Foodgrains Rice Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2012,2131.0
Agricultural Production Foodgrains Rice Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2012,3032.0
Agricultural Production Foodgrains Rice Yield Jharkland,"Annual, Ending mar Of Each Year",kg/ha,2012,2129.0
Agricultural Production Foodgrains Rice Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2012,2789.0
Agricultural Production Foodgrains Rice Yield Kerala,"Annual, Ending mar Of Each Year",kg/ha,2012,2714.0
Agricultural Production Foodgrains Rice Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,1343.0
Agricultural Production Foodgrains Rice Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2012,1844.0
Agricultural Production Foodgrains Rice Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,2012,1708.0
Agricultural Production Foodgrains Rice Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2012,3738.0
Agricultural Production Foodgrains Rice Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,2012,3926.0
Agricultural Production Foodgrains Rice Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,2356.0
Agricultural Production Foodgrains Rice Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2012,2691.0
Agricultural Production Foodgrains Wheat Area,"Annual, Ending mar Of Each Year",ha mn,2012,29.86
Agricultural Production Foodgrains Wheat Volume,"Annual, Ending mar Of Each Year",Ton mn,2012,94.88
Agricultural Production Foodgrains Wheat Yield,"Annual, Ending mar Of Each Year",kg/ha,2012,3131.0
Agricultural Production Foodgrains Wheat Area Assam,"Annual, Ending mar Of Each Year",ha mn,2012,0.05
Agricultural Production Foodgrains Wheat Area Bihar,"Annual, Ending mar Of Each Year",ha mn,2012,2.14
Agricultural Production Foodgrains Wheat Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,2012,1.35
Agricultural Production Foodgrains Wheat Area Haryana,"Annual, Ending mar Of Each Year",ha mn,2012,2.52
Agricultural Production Foodgrains Wheat Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,2012,0.36
Agricultural Production Foodgrains Wheat Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,2012,0.3
Agricultural Production Foodgrains Wheat Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,2012,0.16
Agricultural Production Foodgrains Wheat Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,2012,0.23
Agricultural Production Foodgrains Wheat Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,2012,4.89
Agricultural Production Foodgrains Wheat Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,2012,0.84
Agricultural Production Foodgrains Wheat Area Punjab,"Annual, Ending mar Of Each Year",ha mn,2012,3.53
Agricultural Production Foodgrains Wheat Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,2012,2.94
Agricultural Production Foodgrains Wheat Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,2012,9.73
Agricultural Production Foodgrains Wheat Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,2012,0.37
Agricultural Production Foodgrains Wheat Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,2012,0.32
Agricultural Production Foodgrains Wheat Area Others,"Annual, Ending mar Of Each Year",ha mn,2012,0.13
Agricultural Production Foodgrains Wheat Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2012,60.0
Agricultural Production Foodgrains Wheat Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2012,4730.0
Agricultural Production Foodgrains Wheat Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2012,128.6
Agricultural Production Foodgrains Wheat Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2012,4070.0
Agricultural Production Foodgrains Wheat Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2012,12690.0
Agricultural Production Foodgrains Wheat Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,600.0
Agricultural Production Foodgrains Wheat Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,2012,500.0
Agricultural Production Foodgrains Wheat Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,2012,300.0
Agricultural Production Foodgrains Wheat Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2012,190.0
Agricultural Production Foodgrains Wheat Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,11540.0
Agricultural Production Foodgrains Wheat Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2012,1310.0
Agricultural Production Foodgrains Wheat Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2012,2.7
Agricultural Production Foodgrains Wheat Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2012,17280.0
Agricultural Production Foodgrains Wheat Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2012,9320.0
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,30290.0
Agricultural Production Foodgrains Wheat Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,2012,880.0
Agricultural Production Foodgrains Wheat Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2012,870.0
Agricultural Production Foodgrains Wheat Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,2012,1147.0
Agricultural Production Foodgrains Wheat Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2012,2206.0
Agricultural Production Foodgrains Wheat Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2012,3014.0
Agricultural Production Foodgrains Wheat Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2012,5030.0
Agricultural Production Foodgrains Wheat Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,1671.0
Agricultural Production Foodgrains Wheat Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,2012,1689.0
Agricultural Production Foodgrains Wheat Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,2012,1908.0
Agricultural Production Foodgrains Wheat Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2012,858.0
Agricultural Production Foodgrains Wheat Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,2360.0
Agricultural Production Foodgrains Wheat Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2012,1558.0
Agricultural Production Foodgrains Wheat Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2012,4898.0
Agricultural Production Foodgrains Wheat Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,2012,3175.0
Agricultural Production Foodgrains Wheat Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,3113.0
Agricultural Production Foodgrains Wheat Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,2012,2379.0
Agricultural Production Foodgrains Wheat Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2012,2765.0
Agricultural Production Foodgrains Coarse Cereals Area,"Annual, Ending mar Of Each Year",ha mn,2012,26.42
Agricultural Production Foodgrains Coarse Cereals Volume,"Annual, Ending mar Of Each Year",Ton mn,2012,42.01
Agricultural Production Foodgrains Coarse Cereals Yield,"Annual, Ending mar Of Each Year",kg/ha,2012,1590.0
Agricultural Production Foodgrains Coarse Cereals Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,2012,1.25
Agricultural Production Foodgrains Coarse Cereals Area Bihar,"Annual, Ending mar Of Each Year",ha mn,2012,0.71
Agricultural Production Foodgrains Coarse Cereals Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,2012,0.27
Agricultural Production Foodgrains Coarse Cereals Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,2012,1.59
Agricultural Production Foodgrains Coarse Cereals Area Haryana,"Annual, Ending mar Of Each Year",ha mn,2012,0.69
Agricultural Production Foodgrains Coarse Cereals Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,2012,0.32
Agricultural Production Foodgrains Coarse Cereals Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,2012,0.35
Agricultural Production Foodgrains Coarse Cereals Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,2012,0.23
Agricultural Production Foodgrains Coarse Cereals Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,2012,3.48
Agricultural Production Foodgrains Coarse Cereals Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,2012,1.77
Agricultural Production Foodgrains Coarse Cereals Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,2012,5.2
Agricultural Production Foodgrains Coarse Cereals Area Orissa,"Annual, Ending mar Of Each Year",ha mn,2012,0.19
Agricultural Production Foodgrains Coarse Cereals Area Punjab,"Annual, Ending mar Of Each Year",ha mn,2012,0.14
Agricultural Production Foodgrains Coarse Cereals Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,2012,6.91
Agricultural Production Foodgrains Coarse Cereals Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,2012,0.64
Agricultural Production Foodgrains Coarse Cereals Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,2012,2.03
Agricultural Production Foodgrains Coarse Cereals Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,2012,0.25
Agricultural Production Foodgrains Coarse Cereals Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,2012,0.11
Agricultural Production Foodgrains Coarse Cereals Area Others,"Annual, Ending mar Of Each Year",ha mn,2012,0.29
Agricultural Production Foodgrains Coarse Cereals Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,4230.0
Agricultural Production Foodgrains Coarse Cereals Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2012,16.0
Agricultural Production Foodgrains Coarse Cereals Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2012,1650.0
Agricultural Production Foodgrains Coarse Cereals Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2012,210.0
Agricultural Production Foodgrains Coarse Cereals Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2012,2230.0
Agricultural Production Foodgrains Coarse Cereals Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2012,1390.0
Agricultural Production Foodgrains Coarse Cereals Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,750.0
Agricultural Production Foodgrains Coarse Cereals Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,2012,530.0
Agricultural Production Foodgrains Coarse Cereals Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,2012,330.0
Agricultural Production Foodgrains Coarse Cereals Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2012,6810.0
Agricultural Production Foodgrains Coarse Cereals Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,2012,0.6
Agricultural Production Foodgrains Coarse Cereals Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,2470.0
Agricultural Production Foodgrains Coarse Cereals Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2012,6120.0
Agricultural Production Foodgrains Coarse Cereals Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2012,260.0
Agricultural Production Foodgrains Coarse Cereals Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2012,550.0
Agricultural Production Foodgrains Coarse Cereals Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2012,7460.0
Agricultural Production Foodgrains Coarse Cereals Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2012,2320.0
Agricultural Production Foodgrains Coarse Cereals Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,3570.0
Agricultural Production Foodgrains Coarse Cereals Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,2012,330.0
Agricultural Production Foodgrains Coarse Cereals Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2012,380.0
Agricultural Production Foodgrains Coarse Cereals Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,3384.0
Agricultural Production Foodgrains Coarse Cereals Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2012,2324.0
Agricultural Production Foodgrains Coarse Cereals Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,2012,778.0
Agricultural Production Foodgrains Coarse Cereals Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2012,1403.0
Agricultural Production Foodgrains Coarse Cereals Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2012,2014.0
Agricultural Production Foodgrains Coarse Cereals Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,2344.0
Agricultural Production Foodgrains Coarse Cereals Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,2012,1514.0
Agricultural Production Foodgrains Coarse Cereals Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,2012,1435.0
Agricultural Production Foodgrains Coarse Cereals Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2012,1957.0
Agricultural Production Foodgrains Coarse Cereals Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,1395.0
Agricultural Production Foodgrains Coarse Cereals Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2012,1177.0
Agricultural Production Foodgrains Coarse Cereals Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,2012,1368.0
Agricultural Production Foodgrains Coarse Cereals Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2012,3929.0
Agricultural Production Foodgrains Coarse Cereals Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,2012,1080.0
Agricultural Production Foodgrains Coarse Cereals Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,2012,3625.0
Agricultural Production Foodgrains Coarse Cereals Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,1759.0
Agricultural Production Foodgrains Coarse Cereals Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,2012,1320.0
Agricultural Production Foodgrains Coarse Cereals Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2012,3455.0
Agricultural Production Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,2013,257.13
Agricultural Production Foodgrains Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,128.07
Agricultural Production Foodgrains Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,129.06
Agricultural Production Foodgrains Rice,"Annual, Ending mar Of Each Year",Ton mn,2013,105.24
Agricultural Production Foodgrains Rice Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,92.37
Agricultural Production Foodgrains Rice Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,12.87
Agricultural Production Foodgrains Wheat Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,93.51
Agricultural Production Foodgrains Jowar,"Annual, Ending mar Of Each Year",Ton mn,2013,5.28
Agricultural Production Foodgrains Jowar Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,2.84
Agricultural Production Foodgrains Jowar Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,2.44
Agricultural Production Foodgrains Bajra Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,8.74
Agricultural Production Foodgrains Maize,"Annual, Ending mar Of Each Year",Ton mn,2013,22.26
Agricultural Production Foodgrains Maize Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,16.19
Agricultural Production Foodgrains Maize Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,6.06
Agricultural Production Foodgrains Ragi Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,1.57
Agricultural Production Foodgrains Small Millets Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,0.44
Agricultural Production Foodgrains Barley Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,1.75
Agricultural Production Foodgrains Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,2013,40.04
Agricultural Production Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,29.79
Agricultural Production Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,10.25
Agricultural Production Foodgrains Cereals,"Annual, Ending mar Of Each Year",Ton mn,2013,238.79
Agricultural Production Foodgrains Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,122.16
Agricultural Production Foodgrains Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,116.63
Agricultural Production Foodgrains Tur Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,3.02
Agricultural Production Foodgrains Other Kharif Pulses Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,0.62
Agricultural Production Foodgrains Gram Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,8.83
Agricultural Production Foodgrains Other Kharif Pulses Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,2.73
Agricultural Production Foodgrains Pulses,"Annual, Ending mar Of Each Year",Ton mn,2013,18.34
Agricultural Production Foodgrains Pulses Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,5.91
Agricultural Production Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,12.43
Agricultural Production Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,2013,30.943
Agricultural Production Oilseeds Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,20.791
Agricultural Production Oilseeds Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,10.152
Agricultural Production Oilseeds Groundnut,"Annual, Ending mar Of Each Year",Ton mn,2013,4.695
Agricultural Production Oilseeds Groundnut Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,3.187
Agricultural Production Oilseeds Groundnut Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,1.508
Agricultural Production Oilseeds Castorseed Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,1.964
Agricultural Production Oilseeds Sesamun Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,0.685
Agricultural Production Oilseeds Nigerseed Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,0.102
Agricultural Production Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,8.029
Agricultural Production Oilseeds Linseed Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,0.149
Agricultural Production Oilseeds Safflower Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,0.109
Agricultural Production Oilseeds Sunflower,"Annual, Ending mar Of Each Year",Ton mn,2013,0.544
Agricultural Production Oilseeds Sunflower Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,0.187
Agricultural Production Oilseeds Sunflower Rabi,"Annual, Ending mar Of Each Year",Ton mn,2013,0.357
Agricultural Production Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",Ton mn,2013,14.666
Agricultural Production Commercial Crops Cotton,"Annual, Ending mar Of Each Year",Bale mn,2013,34.22
Agricultural Production Commercial Crops Jute,"Annual, Ending mar Of Each Year",Bale mn,2013,10.34
Agricultural Production Commercial Crops Mesta,"Annual, Ending mar Of Each Year",Bale mn,2013,0.59
Agricultural Production Commercial Crops Jute and Mesta,"Annual, Ending mar Of Each Year",Bale mn,2013,10.93
Agricultural Production Commercial Crops Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,2013,341.2
Agricultural Production Major Crops Target Rice,"Annual, Ending mar Of Each Year",Ton mn,2013,104.0
Agricultural Production Major Crops Target Wheat,"Annual, Ending mar Of Each Year",Ton mn,2013,88.0
Agricultural Production Major Crops Target Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,2013,44.0
Agricultural Production Major Crops Target Pulses,"Annual, Ending mar Of Each Year",Ton mn,2013,18.24
Agricultural Production Major Crops Target Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,2013,254.24
Agricultural Production Major Crops Target Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,2013,33.5
Agricultural Production Major Crops Target Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,2013,352.0
Agricultural Production Major Crops Target Cotton,"Annual, Ending mar Of Each Year",Ton mn,2013,35.0
Agricultural Production Major Crops Target Jute and Mesta,"Annual, Ending mar Of Each Year",Ton mn,2013,12.0
Agricultural Production Major Crops Achievements Rice,"Annual, Ending mar Of Each Year",Ton mn,2013,104.4
Agricultural Production Major Crops Achievements Wheat,"Annual, Ending mar Of Each Year",Ton mn,2013,92.46
Agricultural Production Major Crops Achievements Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,2013,40.06
Agricultural Production Major Crops Achievements Pulses,"Annual, Ending mar Of Each Year",Ton mn,2013,18.45
Agricultural Production Major Crops Achievements Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,2013,255.36
Agricultural Production Major Crops Achievements Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,2013,31.01
Agricultural Production Major Crops Achievements Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,2013,338.96
Agricultural Production Major Crops Achievements Cotton,"Annual, Ending mar Of Each Year",Ton mn,2013,34.0
Agricultural Production Major Crops Achievements Jute and Mesta,"Annual, Ending mar Of Each Year",Ton mn,2013,11.3
Agricultural Production Area,"Annual, Ending mar Of Each Year",ha mn,2013,120.8
Agricultural Production Volume,"Annual, Ending mar Of Each Year",Ton mn,2013,255.36
Agricultural Production Yield,"Annual, Ending mar Of Each Year",kg/ha,2013,2128.0
Agricultural Production Kharif Area,"Annual, Ending mar Of Each Year",ha mn,2013,67.7
Agricultural Production Kharif Volume,"Annual, Ending mar Of Each Year",Ton mn,2013,128.2
Agricultural Production Kharif Yield,"Annual, Ending mar Of Each Year",kg/ha,2013,1892.0
Agricultural Production Rabi Area,"Annual, Ending mar Of Each Year",ha mn,2013,53.1
Agricultural Production Rabi Volume,"Annual, Ending mar Of Each Year",Ton mn,2013,127.16
Agricultural Production Rabi Yield,"Annual, Ending mar Of Each Year",kg/ha,2013,2431.0
Agricultural Production Foodgrains Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,2013,6.85
Agricultural Production Foodgrains Area Assam,"Annual, Ending mar Of Each Year",ha mn,2013,2.52
Agricultural Production Foodgrains Area Bihar,"Annual, Ending mar Of Each Year",ha mn,2013,6.71
Agricultural Production Foodgrains Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,2013,5.04
Agricultural Production Foodgrains Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,2013,3.68
Agricultural Production Foodgrains Area Haryana,"Annual, Ending mar Of Each Year",ha mn,2013,4.39
Agricultural Production Foodgrains Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,2013,2.31
Agricultural Production Foodgrains Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,2013,7.42
Agricultural Production Foodgrains Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,2013,14.13
Agricultural Production Foodgrains Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,2013,10.11
Agricultural Production Foodgrains Area Orissa,"Annual, Ending mar Of Each Year",ha mn,2013,5.04
Agricultural Production Foodgrains Area Punjab,"Annual, Ending mar Of Each Year",ha mn,2013,6.59
Agricultural Production Foodgrains Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,2013,12.17
Agricultural Production Foodgrains Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,2013,2.89
Agricultural Production Foodgrains Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,2013,19.96
Agricultural Production Foodgrains Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,2013,0.93
Agricultural Production Foodgrains Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,2013,6.09
Agricultural Production Foodgrains Area Others,"Annual, Ending mar Of Each Year",ha mn,2013,3.33
Agricultural Production Foodgrains Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton mn,2013,17.93
Agricultural Production Foodgrains Volume Assam,"Annual, Ending mar Of Each Year",Ton mn,2013,4.76
Agricultural Production Foodgrains Volume Bihar,"Annual, Ending mar Of Each Year",Ton mn,2013,15.62
Agricultural Production Foodgrains Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton mn,2013,7.63
Agricultural Production Foodgrains Volume Gujarat,"Annual, Ending mar Of Each Year",Ton mn,2013,7.32
Agricultural Production Foodgrains Volume Haryana,"Annual, Ending mar Of Each Year",Ton mn,2013,16.22
Agricultural Production Foodgrains Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton mn,2013,4.3
Agricultural Production Foodgrains Volume Karnataka,"Annual, Ending mar Of Each Year",Ton mn,2013,10.93
Agricultural Production Foodgrains Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton mn,2013,23.42
Agricultural Production Foodgrains Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton mn,2013,10.69
Agricultural Production Foodgrains Volume Orissa,"Annual, Ending mar Of Each Year",Ton mn,2013,8.35
Agricultural Production Foodgrains Volume Punjab,"Annual, Ending mar Of Each Year",Ton mn,2013,28.07
Agricultural Production Foodgrains Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton mn,2013,18.03
Agricultural Production Foodgrains Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton mn,2013,6.29
Agricultural Production Foodgrains Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton mn,2013,50.84
